var,min,max,mean
AB1_DIV200,-6.52E-06,6.52E-06,0.019530731
AB2_DIV200,-9.40E-06,9.40E-06,0.067673872
AB1_DIV850,-3.89E-06,3.89E-06,0.004722658
AB2_DIV850,-3.34E-06,3.34E-06,-0.12161453
AB1_HGT500,5720.766977,5909.951459,0.16843421
AB2_HGT500,5347.288481,5756.460842,0.18063244
AB1_OMEGA500,-0.094484666,0.094484666,-0.16203663
AB2_OMEGA500,-0.137758016,0.137758016,-0.10682511
AB1_UWND200,-12.93384893,12.93384893,0.35131118
AB2_UWND200,-24.12846832,24.12846832,0.54594019
AB3_UWND200,-22,22.05197432,1
AB1_UWND850,-5.65930192,5.65930192,-0.55732531
AB2_UWND850,-7.747638587,7.747638587,0.19160655
AB1_VWND200,-12.35213678,12.35213678,0.15909734
AB2_VWND200,-19.34152342,19.34152342,0.028562454
AB3_VWND200,-17.96518009,17.96518009,0.071719295
AB1_VWND850,-8.879095148,8.879095148,-0.26967749
AB2_VWND850,-7.342047714,7.342047714,-0.3576956
AB3_VWND850,-5.59709084,5.59709084,-0.29454961
AB1_VORT200,-2.63E-05,2.63E-05,0.012094006
AB2_VORT200,-3.01E-05,3.01E-05,0.10144561
AB3_VORT200,-4.43E-05,4.43E-05,0.20000924
