var,min,max,mean
C1_DIV200,-7.74E-06,7.74E-06,0.17251626
C2_DIV200,-9.09E-06,9.09E-06,0.05629487
C1_DIV850,-3.63E-06,3.63E-06,-0.31213524
C2_DIV850,-3.42E-06,3.42E-06,-0.019450762
C1_HGT500,5725.569686,5903.100866,0.16431034
C2_HGT500,5249.500475,5718.278788,0.15045071
C1_OMEGA500,-0.109897085,0.109897085,-0.34102554
C2_OMEGA500,-0.131964803,0.131964803,-0.11070249
C3_OMEGA500,-0.180743611,0.180743611,0.024480275
C1_UWND200,-15.40714815,15.40714815,0.31513544
C2_UWND200,-24,23.89688196,1
C3_UWND200,-21.60985878,21.60985878,1.3243487
C1_UWND850,-5.871044277,5.871044277,-0.26909966
C2_UWND850,-8.15949878,8.15949878,0.26444131
C1_VWND200,-12.77926834,12.77926834,0.3000885
C2_VWND200,-18.61471539,18.61471539,0.10601524
C3_VWND200,-19.12294179,19.12294179,-0.12697385
C1_VWND850,-8.879095148,8.879095148,-0.26967749
C2_VWND850,-8.674095126,8.674095126,-0.17727542
C3_VWND850,-5.997971286,5.997971286,-0.48115396
C1_VORT200,-2.69E-05,2.69E-05,-0.14285812
C2_VORT200,-2.96E-05,2.96E-05,0.25024149
C3_VORT200,-4.51E-05,4.51E-05,0.22388029
