var,min,max,mean
DE1_DIV200,-8.98E-06,8.98E-06,0.078654191
DE2_DIV200,-7.41E-06,7.41E-06,0.052741209
DE1_DIV850,-3.24E-06,3.24E-06,-0.13970535
DE2_DIV850,-3.96E-06,3.96E-06,-0.065998864
DE2_HGT500,5228.821091,5716.584003,0.1464444
DE3_HGT500,5117.024249,5654.720318,0.078434038
DE1_OMEGA500,-0.137758016,0.137758016,-0.10682511
DE2_OMEGA500,-0.107316082,0.107316082,-0.20851083
DE1_UWND200,-14.66889144,14.66889144,0.25163619
DE2_UWND200,-27.03702014,27.03702014,0.44809528
DE3_UWND200,-24,24.22342907,1
DE4_UWND200,-23.60970802,23.60970802,0.37939592
DE5_UWND200,-22.68632469,22.68632469,1.2821562
DE1_UWND850,-5.860176798,5.860176798,-0.039123624
DE1_VWND200,-19.71742065,19.71742065,0.001692861
DE2_VWND200,-14.51742112,14.51742112,0.20960587
DE3_VWND200,-18.3823791,18.3823791,0.10375276
DE4_VWND200,-16.62304991,16.62304991,-0.36033924
DE1_VWND850,-7.093322233,7.093322233,-0.4208904
DE2_VWND850,-6.682841336,6.682841336,-0.31495679
DE3_VWND850,-5.248501569,5.248501569,-0.27283997
DE1_VORT200,-3.90E-05,3.90E-05,0.015055732
DE2_VORT200,-4.41E-05,4.41E-05,0.27803609
DE3_VORT200,-4.40E-05,4.40E-05,0.32549967
