PC,C1_DIV200,C2_DIV200,C1_DIV850,C2_DIV850,C1_HGT500,C2_HGT500,C1_OMEGA500,C2_OMEGA500,C3_OMEGA500,C1_UWND200,C2_UWND200,C3_UWND200,C1_UWND850,C2_UWND850,C1_VWND200,C2_VWND200,C3_VWND200,C1_VWND850,C2_VWND850,C3_VWND850,C1_VORT200,C2_VORT200,C3_VORT200
1,-0.284308385,0.245737144,0.23634761,-0.203745001,0.212730581,-0.074943556,0.269301285,-0.225583167,-0.116847797,0.110564685,-0.194456043,0.227754062,-0.223955291,0.093693897,-0.139689373,0.252321121,-0.24356197,-0.19534633,-0.176409552,0.171837639,0.112661768,-0.247917249,0.311712405
2,0.097682259,0.196795296,-0.22476069,-0.166679749,-0.062852316,-0.289612788,-0.176016505,-0.162483941,-0.224184409,-0.218170961,-0.030146502,0.293407185,0.255717869,0.220287602,0.351580156,0.049417747,-0.167977052,0.030404984,-0.16005584,-0.329854363,-0.282483288,0.146721215,0.196245332
3,-0.008103944,0.073042272,0.009545703,0.34187272,0.142965078,0.035020046,-7.56952e-05,-0.039779605,0.500053806,-0.187443972,0.055280253,0.175804728,0.100209343,-0.203706854,0.173169107,0.199731795,-0.245205673,-0.229992043,0.394284854,0.182743717,-0.160015089,0.181309878,0.231205918
4,0.091384855,0.12517964,-0.063705204,-0.190452675,0.159754989,0.494991808,-0.150140207,-0.154531797,-0.059962246,-0.08327316,-0.167112146,-0.361428892,-0.148907668,-0.415645509,0.239450612,0.187324485,-0.082209434,0.022116041,-0.237769481,-0.012456977,-0.306274342,-0.056784325,-0.035681884
5,-0.096683766,0.084846561,0.291137485,-0.204948407,-0.238010433,-0.042716788,0.242616746,-0.132256955,-0.116693598,-0.056279725,0.501666225,-0.101577768,-0.019674859,-0.006693882,0.242286039,0.111257613,-0.012444953,-0.018514222,-0.108525572,0.331992331,-0.002668692,0.460931787,-0.191352595
6,-0.201124648,0.265616711,-0.193117851,-0.024986567,-0.316575142,0.147968024,-0.008452085,-0.232821628,0.076150252,0.365554864,0.153054129,-0.076461906,0.422019721,-0.187786734,-0.030555652,0.233054564,-0.11296174,0.200948399,0.146114641,-0.193726112,0.322510335,-0.142406183,0.032557136
7,-0.232490432,0.278796469,0.211662134,-0.015651019,0.065076168,0.183835854,0.214992501,-0.150160514,0.025482247,-0.364983544,-0.144194362,-0.064262333,0.139322332,0.217083851,-0.075184832,-0.195235057,0.21482101,0.509271906,0.294800781,0.034129939,-0.220622027,-0.068544234,0.018279937
8,-0.258972574,-0.388617656,0.039527052,0.062523956,-0.017687444,0.081362571,0.148386387,0.483125716,-0.269011095,0.128795625,-0.053519434,0.042614556,0.164392043,0.055027429,0.287495426,0.428946274,0.022387651,0.191829578,0.088452322,0.076241888,-0.202827041,-0.128423469,0.123172522
9,-0.136107262,0.132810852,-0.017778175,0.16757584,-0.070654269,-0.216445674,0.035860415,-0.15723675,0.260736441,0.461113071,0.073140482,-0.031450037,-0.356987146,0.135188519,0.409996866,-0.113607096,0.178474883,0.035844739,0.017982266,-0.064440949,-0.340751739,-0.260493127,-0.149460864
10,0.118820435,0.066636081,-0.162483015,0.020958321,0.140299597,-0.080107287,-0.21873504,0.034930887,-0.039216819,0.023894674,0.065831822,0.244166889,-0.446331488,-0.147497291,0.107761589,0.103435006,-0.00484274,0.622278779,0.048644901,0.170187384,0.309497765,0.170452261,0.163306316
11,0.003213243,-0.133891015,0.091514508,-0.335707678,-0.026553587,-0.324832193,-0.02183579,-0.122881703,0.131545049,-0.038720029,-0.044771844,0.259706117,0.143044125,-0.510720805,-0.130469206,0.144256646,0.544121335,-0.002060375,0.013782928,0.039135229,-0.161723662,-0.087346102,0.015105796
12,0.27869211,0.014572853,-0.124472809,-0.202688697,0.241999782,0.23709563,-0.168967464,-0.191792064,-0.045334448,0.19291308,-0.005361022,-0.023137711,0.106871618,0.449794888,0.117140517,0.230599635,0.417511753,-0.204530316,0.269152538,0.231394214,0.123330469,0.058965553,0.06432304
13,0.316700531,-0.175779316,0.43066558,-0.284164754,0.055080387,0.163056151,0.12728067,-0.012347241,-0.017335209,0.322405505,-0.101410716,0.196059837,0.100179277,-0.140062385,0.251234065,-0.390041221,-0.23525582,0.07211292,0.24085788,-0.156515859,0.053184951,0.037078483,0.107115529
14,0.450202384,0.070632557,0.153537905,0.224877578,-0.276831842,-0.158201558,-0.161212825,-0.113077066,-0.178234143,0.136555832,-0.048321789,-0.077065935,0.163415321,0.01432027,-0.225649713,0.056392526,-0.185222483,0.160981686,-0.032709712,0.481584263,-0.297190676,-0.227184501,0.069985292
15,0.090826934,0.069726175,0.278076501,0.278361374,0.218912841,-0.292519678,0.033389776,-0.035710083,0.080745978,-0.085641834,-0.308715691,-0.261906159,0.291505948,-0.042834286,0.391563378,0.062977057,0.129629753,0.063973907,-0.27702652,0.04040476,0.410662357,-0.025864048,-0.075881671
