PC,DE1_DIV200,DE2_DIV200,DE1_DIV850,DE2_DIV850,DE2_HGT500,DE3_HGT500,DE1_OMEGA500,DE2_OMEGA500,DE1_UWND200,DE2_UWND200,DE3_UWND200,DE4_UWND200,DE5_UWND200,DE1_UWND850,DE1_VWND200,DE2_VWND200,DE3_VWND200,DE4_VWND200,DE1_VWND850,DE2_VWND850,DE3_VWND850,DE1_VORT200,DE2_VORT200,DE3_VORT200
1,0.253760108,-0.297779945,-0.256131137,0.259566624,-0.067912791,0.085174214,-0.276557432,0.277138515,0.119439325,-0.272589564,0.162546926,-0.086958878,0.080636176,-0.10392516,0.240473722,-0.134284282,-0.169612137,0.033389289,-0.046583548,-0.273422353,0.200660935,-0.287332678,0.317606657,0.050693923
2,-0.307633912,-0.120116964,0.144382261,0.153266489,-0.037390185,0.098532398,0.205297598,0.160776519,0.150630115,-0.06587238,-0.093941051,-0.161775373,0.322970304,-0.047709106,-0.112487929,-0.192244171,0.359843419,-0.259549465,-0.326315337,0.056633966,0.141881951,-0.175418821,-0.16730784,0.404765337
3,0.046969395,0.044447469,0.074895341,-0.24897241,-0.416970383,0.154274294,0.026706194,-0.139329213,-0.159454635,-0.085306612,0.421424316,-0.087357876,0.364394156,0.306924934,0.095344105,0.146131156,-0.082134292,-0.177620293,-0.017857794,0.128747089,-0.257798659,0.040354594,0.280297708,0.182269487
4,-0.064760958,-0.293761164,0.092113035,0.306959644,-0.224327085,-0.161331052,0.164583411,0.373302222,-0.10605506,0.277070914,0.239269115,0.320291487,0.017859395,0.28173155,-0.1401609,-0.055916757,-0.083680408,0.177072085,-0.092463483,0.200343321,0.220619887,0.222354367,0.009960481,-0.168627933
5,0.044200261,-0.024863213,-0.252226097,0.117280797,-0.076724681,0.14762173,-0.165961652,0.033372985,-0.278124707,0.195382274,-0.172878477,0.030028706,0.206994694,-0.172942787,0.061729516,0.479394791,0.062363356,-0.074539921,-0.216005306,-0.329046618,0.102458932,0.447453653,-0.127804899,0.139983037
6,-0.099063704,0.224026976,0.298198507,-0.026564464,-0.183680908,0.512711019,0.213939888,-0.093698419,0.057077265,0.020028706,-0.056061248,0.248913279,0.052045077,-0.232436188,0.283322785,-0.218803558,-0.275488651,0.26190429,-0.223365818,-0.154311894,0.10184074,0.022324921,-0.02537243,-0.125942943
7,0.096269607,-0.083787847,-0.221730714,0.058100659,-0.229234988,0.577810508,-0.126325003,0.048769821,0.255450027,0.140429037,-0.008561489,0.108546489,-0.056375787,0.014505532,-0.515859698,-0.020949681,0.068654009,-0.114860524,0.255748334,-0.001992633,-0.179451919,-0.0940397,-0.147564563,-0.116244229
8,0.011323321,0.072012746,-0.109682726,-0.105893998,-0.294126042,-0.442010825,-0.104058267,-0.116160822,0.585550684,0.221635835,-0.013714872,0.322527282,0.217654165,-0.015561923,0.143715614,-0.00093494,0.042443407,-0.013824365,-0.072834857,-0.22779285,-0.144783498,-0.063344021,-0.12865832,-0.00690309
9,-0.030589634,-0.26020632,0.204586976,-0.105071641,0.245886993,0.132648128,0.100952755,0.087877545,0.399565661,-0.180109505,-0.011824218,0.073876759,-0.117587258,0.065062345,-0.064654059,0.616054363,-0.019390315,0.175268732,-0.302870389,0.081359886,-0.133248995,-0.055838844,0.177573425,-0.034465329
10,-0.10106061,-0.180410914,0.26709285,0.093844096,-0.11826636,-0.029491755,0.171100873,0.063538265,0.099476952,0.005012308,-0.006578278,0.092298232,0.029589197,-0.43900466,0.211859557,0.237969579,-0.021696573,-0.343853999,0.592513423,0.115381018,0.121600605,0.073227763,0.109125778,0.013330727
11,0.04384395,-0.063749352,-0.017055912,-0.030359183,0.372041912,0.262444289,-0.100042174,0.045821122,0.110574743,0.189748621,-0.090992068,0.211965152,-0.045807736,0.491337375,0.468688864,-0.104788822,0.036895125,-0.426335273,0.038752681,0.036317121,0.046796046,0.071935719,-0.061221562,-0.0272712
12,0.046211268,0.445017423,-0.098846047,0.185184677,0.128802931,0.024972144,-0.045343587,-0.243740104,0.244877419,0.012059703,0.461591661,0.009137676,-0.097918065,-0.080050737,-0.150564064,0.126703282,0.015894125,-0.204120627,-0.13901978,0.148562331,0.502104409,0.076556731,0.086481569,-0.018357557
13,-0.298442097,0.244038869,-0.200993496,0.204704711,-0.089290599,0.096925479,0.050257585,0.114978509,0.253507799,-0.093623272,-0.044883029,-0.269937285,-0.001697351,0.307514271,0.222636965,0.128833179,0.021645127,0.444003267,0.371560525,0.03354641,0.056753539,0.150394663,-0.092788973,0.2368061
14,-0.077530902,-0.122524028,-0.065784577,-0.039346802,0.54542761,0.071320156,-0.030737274,-0.067217536,-0.018867979,0.17575266,0.376488348,0.230036307,0.381621043,-0.2131841,-0.076713117,-0.143812899,0.030681948,0.295654874,0.187755582,-0.035262023,-0.179656825,0.070602807,0.035822269,0.241065529
15,0.501421747,0.073633194,0.511640686,0.02197642,0.095840684,-0.03071862,-0.160960706,0.112865742,0.206899645,0.087528102,-0.112987603,-0.335764533,0.303015027,0.102819989,-0.166773677,-0.059131237,-0.173881231,0.054853066,0.09558494,-0.055377979,0.104732999,0.223331618,-0.12538247,0.020807327
